                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.9469,                 2.0724,                 1.8108,                0.81558,                0.50361,                0.51724,                0.25704,                 1.9189,                 1.3652,                 1.4823,              0.0097162,              0.0097162,              0.0097162
                     88,                 1.9285,                 2.0695,                 1.8143,                0.77288,                 0.5036,                0.51257,                0.21985,                 2.0175,                 1.3112,                 1.5798,              0.0097129,              0.0097129,              0.0097129
                     89,                 1.9534,                 2.1037,                 1.8276,                0.82221,                 0.5103,                0.54616,                0.26532,                 1.9223,                 1.2769,                 1.5134,              0.0097096,              0.0097096,              0.0097096
                     90,                 1.9462,                  2.097,                 1.8279,                0.78672,                0.51476,                0.58021,                0.24862,                 2.1161,                 1.3209,                 1.6044,              0.0097063,              0.0097063,              0.0097063
                     91,                  1.942,                 2.0462,                 1.8003,                0.66757,                0.50065,                0.51975,                0.21488,                  2.076,                  1.314,                 1.5997,               0.009703,               0.009703,               0.009703
                     92,                 1.9415,                 2.0434,                 1.7996,                  0.724,                0.59416,                0.58114,                0.28185,                  2.001,                 1.2566,                 1.5412,              0.0096997,              0.0096997,              0.0096997
                     93,                 1.9127,                 2.0535,                 1.7966,                0.80961,                0.51656,                0.58745,                0.24181,                 2.0749,                 1.3079,                 1.6068,              0.0096964,              0.0096964,              0.0096964
                     94,                 1.9187,                 2.0276,                 1.7935,                0.80732,                0.48811,                0.57328,                0.28542,                 2.0835,                 1.2687,                 1.5848,              0.0096931,              0.0096931,              0.0096931
                     95,                 1.9392,                 2.0875,                 1.8217,                0.81256,                0.49588,                0.52694,                 0.2448,                 2.1867,                  1.302,                 1.6698,              0.0096898,              0.0096898,              0.0096898
                     96,                 1.9009,                 2.0673,                 1.7952,                0.78474,                0.50507,                0.51475,                0.22663,                 2.1478,                 1.4172,                 1.6697,              0.0096865,              0.0096865,              0.0096865
                     97,                 1.9185,                 2.0198,                 1.7939,                0.84508,                0.50982,                0.55819,                0.27335,                 1.9571,                  1.199,                 1.5169,              0.0096832,              0.0096832,              0.0096832
                     98,                 1.9178,                  2.025,                 1.7891,                0.65801,                 0.5971,                0.56448,                0.26869,                 2.0435,                 1.3141,                 1.5974,              0.0096799,              0.0096799,              0.0096799
                     99,                 1.9369,                 2.0369,                  1.792,                0.80961,                0.51069,                0.55059,                0.24936,                 2.0462,                 1.2775,                 1.5411,              0.0096766,              0.0096766,              0.0096766
                    100,                 1.9019,                  2.008,                 1.7821,                0.82125,                0.48096,                0.52314,                0.26886,                 1.8916,                 1.2566,                 1.4645,              0.0096733,              0.0096733,              0.0096733
